time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.77E+18,0.072080811,-0.194521286,0.131591659,0.013449776,0.041739799,-0.135018677,-0.231435105
1.77E+18,0.08206958,0.026758243,0.040417351,0.094254958,0.047629494,-0.150136709,-0.27418825
1.77E+18,0.092057373,-0.052878773,-0.061765259,0.011409356,0.051839951,-0.116094589,-0.274212748
1.77E+18,0.102046631,-0.222766553,-0.043909284,-0.153796258,0.052938711,-0.083577409,-0.285168499
1.77E+18,0.112034668,-0.127090841,0.019337738,-0.105198231,0.055534497,-0.073572449,-0.320287347
1.77E+18,0.122023682,-0.063344053,-0.036408115,-0.007885054,0.053811006,-0.100684397,-0.379391938
1.77E+18,0.132011475,-0.04822364,-0.095945761,0.030141237,0.048167769,-0.21904248,-0.444961101
1.77E+18,0.142000732,-0.077257427,-0.103987029,0.147125036,0.036386564,-0.385036558,-0.515636146
1.77E+18,0.151988525,-0.266105928,-0.045932315,0.204624601,0.017997438,-0.555989683,-0.579551756
1.77E+18,0.161977783,-0.593369213,-0.008670213,0.124253864,0.006403855,-0.688828111,-0.656673014
1.77E+18,0.17196582,-0.613639848,-0.104199795,0.071901599,0.011130434,-0.797798276,-0.759088039
1.77E+18,0.18195459,-0.215201086,-0.122983406,0.185982736,0.021633791,-0.929271579,-0.861443102
1.77E+18,0.191942627,-0.210507375,-0.01777005,0.109657256,0.030446457,-1.024134636,-0.980603874
1.77E+18,0.201931641,-0.37432548,-0.03896306,-0.036773003,0.049754307,-1.079833031,-1.065077305
1.77E+18,0.211919678,-0.323802915,-0.298505392,-0.068489416,0.091237299,-1.067910671,-1.157330275
1.77E+18,0.221908447,-0.171236857,-0.317406492,-0.132853131,0.102910534,-1.023027778,-1.232069492
1.77E+18,0.231896729,-0.524223781,0.225917126,-0.420312703,0.099852428,-0.943447709,-1.232935309
1.77E+18,0.241885742,-0.766331578,0.182677704,-0.395299368,0.094880685,-0.8563447,-1.222484231
1.77E+18,0.251873535,-0.410597401,-0.187139944,-0.292755852,0.117343649,-0.807600856,-1.243105888
1.77E+18,0.261862549,-0.144597856,-0.249812381,-0.215354852,0.16204907,-0.793687403,-1.299414992
1.77E+18,0.271850586,-0.062025371,-0.302549115,-0.154453407,0.192353979,-0.726629019,-1.325132608
