time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.76966E+18,0.072081299,0.03931202,-0.048244683,-0.078930621,-0.007639801,0.007372519,0.013491895
1.76966E+18,0.082069092,0.395520244,-0.187559046,-0.031083413,-0.000496138,-0.001521907,-0.015969856
1.76966E+18,0.092056885,0.316876038,-0.260885563,0.061244742,0.006787559,0.005982056,-0.041591659
1.76966E+18,0.102045166,0.308960735,-0.21322774,0.025320611,0.011251548,-0.014120814,-0.074546941
1.76966E+18,0.11203418,0.346322498,-0.18687574,-0.051709729,0.007602063,-0.017540192,-0.08401598
1.76966E+18,0.122022217,0.072037939,-0.121340315,-0.039306467,0.004244616,0.005684969,-0.072836824
1.76966E+18,0.13201001,-0.165400113,-0.080251933,-0.021737785,-0.000270513,0.029800573,-0.054967433
1.76966E+18,0.141998291,-0.164766492,-0.036653614,-0.069978961,-0.007311644,0.031409655,-0.046634138
1.76966E+18,0.151986328,-0.129028239,0.033468554,-0.096042499,-0.012695224,0.018745258,-0.037851296
1.76966E+18,0.161974121,-0.141779876,0.047364393,-0.050416767,-0.015888887,0.022134131,-0.033563077
1.76966E+18,0.171961914,-0.119644617,0.061013564,-0.005069266,-0.017216895,0.00566207,-0.033774965
1.76966E+18,0.181950195,-0.074564827,0.07702128,0.019003683,-0.007785309,-0.015885832,-0.040810239
1.76966E+18,0.191937988,-0.038311318,0.058974167,0.057727674,0.000234539,-0.021744138,-0.039246541
1.76966E+18,0.201926025,-0.093925361,0.020547698,0.053349021,0.004427419,-0.017102247,-0.029814154
1.76966E+18,0.211914063,-0.158128953,-0.026402269,0.037255672,0.003997504,-0.006473227,-0.017133221
1.76966E+18,0.2219021,-0.139814421,-0.066266662,0.047245151,0.027499901,0.006186907,-0.012207438
1.76966E+18,0.231890137,-0.083814302,-0.042094344,0.027993046,0.012274613,0.018097214,-0.007846621
1.76966E+18,0.241878174,-0.050422027,-0.101494627,-0.060948974,0.022487834,0.00467941,-0.013864566
1.76966E+18,0.251866211,-0.002753975,-0.035706104,0.030139118,0.030855129,0.001226742,-0.004829321
1.76966E+18,0.261854004,-0.03790566,-0.025257191,-0.046540802,0.018939879,0.007239627,0.003178005
1.76966E+18,0.271842285,-0.048898763,-0.023581367,0.024962592,0.004829862,-0.007528546,0.005272634
1.76966E+18,0.281830322,0.041064416,-0.011482348,0.160835874,0.001231665,-0.02467531,-0.003502215
1.76966E+18,0.291818115,0.104762689,-0.038681905,0.168701785,0.002243095,-0.030133359,-0.012880977
1.76966E+18,0.301805908,0.139556062,-0.053867784,0.041187166,0.001182091,-0.034079365,-0.029529199
1.76966E+18,0.311793945,0.092000531,-0.050000587,-0.04613602,-0.000605,-0.033388663,-0.037381895
1.76966E+18,0.321783203,0.025510873,-0.007796353,-0.04127952,-0.007450922,-0.034962859,-0.033839092
1.76966E+18,0.33177124,-0.057737319,0.040983168,-0.020850773,-0.011090481,-0.029734733,-0.027357463
1.76966E+18,0.341759033,-0.087661917,0.05047405,-0.022950083,-0.010586078,-0.015218107,-0.016427316
1.76966E+18,0.351747314,-0.032277883,-0.011918986,-0.046613867,-0.015372118,-0.002290011,-0.010265487
1.76966E+18,0.361735352,0.059401453,-0.108490185,-0.055628364,-0.014374765,-0.024405167,-0.022890203
1.76966E+18,0.371723145,0.195023975,-0.087672438,-0.055374097,-0.013909858,-0.041128144,-0.038879264
1.76966E+18,0.381710938,0.223087748,-0.08729776,-0.093573479,-0.013013704,-0.036967222,-0.0354334
